flood_exposure,flood_boundary_distance,easement_encroachment_pct,lot_coverage_ratio,property_age,num_transfers_5yr,avg_holding_period_years,ownership_anomaly_score,cv_vs_recorded_area_delta,label
0,22.3,0.096,0.309,12,0,19.8,0.093,0.057,0
1,0.0,0.07,0.556,24,5,4.53,0.685,0.142,1
0,352.1,0.119,0.708,68,0,14.5,0.0,0.107,0
0,272.8,0.341,0.417,2,2,8.87,0.28,0.043,0
0,388.8,0.345,0.543,23,6,12.59,0.699,0.114,0
0,308.5,0.06,0.474,10,1,10.43,0.014,0.126,0
0,412.7,0.282,0.381,9,2,3.58,0.042,0.051,0
0,130.8,0.196,0.567,7,2,5.75,0.207,0.094,0
0,54.5,0.016,0.344,27,5,1.42,0.455,0.231,0
0,343.3,0.04,0.819,38,0,12.3,0.002,0.054,0
0,486.2,0.267,0.929,43,6,7.86,0.681,0.123,1
1,0.0,0.321,0.262,35,1,3.97,0.36,0.056,1
0,52.0,0.17,0.671,65,0,21.5,0.107,0.034,0
0,465.2,0.264,0.541,34,3,13.54,0.326,0,0
0,175.7,0.206,0.255,74,1,1.48,0.388,0.064,0
0,115.0,0.046,0.418,21,2,3.26,0.243,0.12,0
0,211.4,0.302,0.959,69,0,15.1,0.0,0.185,0
0,78.7,0.064,0.813,25,4,1.92,0.665,0,1
0,484.8,0.324,0.537,54,2,13.59,0.253,0.055,0
0,149.8,0.244,0.6,57,1,3.66,0.295,0.172,0
0,376.5,0.02,0.866,14,0,6.4,0.0,0.042,0
0,207.9,0.33,0.613,2,0,15.5,0.066,0,0
0,110.1,0.251,0.331,43,3,5.08,0.35,0.019,0
0,45.9,0.075,0.452,73,1,5.86,0.243,0.133,0
0,309.7,0.346,0.704,11,1,14.01,0.313,0.149,0
1,0.0,0.054,0.752,55,6,9.7,0.859,0.042,1
0,55.2,0.148,0.437,65,6,14.71,0.707,0.123,1
0,46.9,0.309,0.826,7,4,2.65,0.327,0.098,1
0,450.5,0.074,0.505,10,2,14.62,0.249,0,0
0,441.9,0.009,0.559,50,1,2.81,0.209,0.026,0
0,430.7,0.078,0.775,52,1,0.84,0.331,0.117,0
0,182.1,0.178,0.679,78,0,26.9,0.0,0.043,0
0,28.7,0.209,0.479,4,4,2.18,0.502,0.019,1
1,0.0,0.324,0.927,56,2,6.75,0.279,0.221,1
1,0.0,0.11,0.469,42,6,6.42,0.582,0.089,1
0,341.9,0.316,0.53,81,1,4.66,0.225,0,0
0,237.8,0.155,0.79,60,6,1.73,0.659,0.039,1
0,339.7,0.079,0.277,21,5,12.82,0.709,0.124,0
1,0.0,0.068,0.413,81,0,24.5,0.085,0.192,0
1,0.0,0.087,0.779,14,4,9.13,0.345,0.21,1
1,0.0,0.285,0.849,24,0,23.6,0.0,0.06,0
1,0.0,0.17,0.298,45,1,4.44,0.292,0.008,1
0,83.9,0.134,0.297,29,2,8.37,0.191,0.077,0
1,0.0,0.331,0.832,33,3,0.59,0.604,0,1
0,273.7,0.257,0.626,47,2,7.54,0.136,0.126,0
0,460.6,0.343,0.471,9,6,0.89,0.647,0.023,0
0,99.0,0.091,0.446,33,1,11.4,0.188,0,0
1,0.0,0.018,0.292,76,0,28.7,0.06,0.055,0
